"rho","U","V","W","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99252,-0.000104,0,0.0040045,1,0,0.016667,0.5,0.5
0.99232,-0.00066129,3.2823e-21,0.010829,1,0.032222,0.048889,0.5,0.5
0.99238,-0.0018939,-8.4703e-21,0.015405,1,0.064444,0.081111,0.5,0.5
0.99231,-0.0033057,-1.6941e-21,0.017731,1,0.096667,0.11333,0.5,0.5
0.99228,-0.0047582,0,0.018632,1,0.12889,0.14556,0.5,0.5
0.99222,-0.0060111,8.4703e-22,0.018605,1,0.16111,0.17778,0.5,0.5
0.99215,-0.0069959,-4.2352e-22,0.018078,1,0.19333,0.21,0.5,0.5
0.99208,-0.0076852,1.2705e-21,0.01725,1,0.22556,0.24222,0.5,0.5
0.99201,-0.0081077,0,0.016251,1,0.25778,0.27444,0.5,0.5
0.99193,-0.0083066,-3.3881e-21,0.015134,1,0.29,0.30667,0.5,0.5
0.99186,-0.0083318,3.3881e-21,0.013925,1,0.32222,0.33889,0.5,0.5
0.99178,-0.0082353,6.7763e-21,0.012628,1,0.35444,0.37111,0.5,0.5
0.99171,-0.0080666,0,0.011233,1,0.38667,0.40333,0.5,0.5
0.99164,-0.0078758,6.7763e-21,0.0097202,1,0.41889,0.43556,0.5,0.5
0.99158,-0.0077111,-6.7763e-21,0.0080631,1,0.45111,0.46778,0.5,0.5
0.99152,-0.0076207,-6.7763e-21,0.0062285,1,0.48333,0.5,0.5,0.5
0.99147,-0.0076539,-6.7763e-21,0.0041767,1,0.51556,0.53222,0.5,0.5
0.99143,-0.0078577,-6.7763e-21,0.0018588,1,0.54778,0.56444,0.5,0.5
0.9914,-0.0082764,0,-0.0007873,1,0.58,0.59667,0.5,0.5
0.99139,-0.0089448,6.7763e-21,-0.0038395,1,0.61222,0.62889,0.5,0.5
0.9914,-0.0098723,0,-0.0073863,1,0.64444,0.66111,0.5,0.5
0.99143,-0.011022,0,-0.011506,1,0.67667,0.69333,0.5,0.5
0.99149,-0.012283,0,-0.016217,1,0.70889,0.72556,0.5,0.5
0.99158,-0.013436,0,-0.021384,1,0.74111,0.75778,0.5,0.5
0.9917,-0.014154,-1.0588e-22,-0.026599,1,0.77333,0.79,0.5,0.5
0.99187,-0.013999,4.2352e-22,-0.031027,1,0.80555,0.82222,0.5,0.5
0.99201,-0.012629,0,-0.033402,1,0.83778,0.85444,0.5,0.5
0.99226,-0.0097895,0,-0.032234,1,0.87,0.88667,0.5,0.5
0.99221,-0.0060777,-2.647e-23,-0.026452,1,0.90222,0.91889,0.5,0.5
0.99253,-0.002173,0,-0.016979,1,0.93444,0.95111,0.5,0.5
0.9918,-0.0003155,-2.7457e-23,-0.005463,1,0.96667,0.98333,0.5,0.5
